"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"124","16091842","雄資投資股份有限公司","臺北市大安區仁愛路3段30號3樓","","125000000","0860906","1040722"
"125","16099529","首府投資股份有限公司","臺中市霧峰區吉峰西路62巷2弄6號1樓","","28000000","0861126","1040703"
"126","16129164","泰偉企業有限公司","高雄市前鎮區育群街273巷50號4樓","","1000000","0870313","1040701"
"127","16139395","志倫汽車實業有限公司","臺北市松山區復興北路503號1樓","","5000000","0860728","1040713"
"128","16160262","鑫利龍企業有限公司","臺北市大同區重慶北路3段113巷59號1樓","","200000","0860924","1040716"
"129","16165983","全安物業管理顧問有限公司","臺北市松山區民族東路683-1號3樓","","5000000","0861009","1040727"
"130","16167595","得富實業有限公司","臺北市大同區天水路46號7樓","","5000000","0861015","1040703"
"131","16216218","景榮有限公司","桃園市平鎮區復旦里環南路106號","","1500000","0860908","1040710"
"132","16219030","新技達企業有限公司","新北市新莊區化成路二０五號之一六","","1000000","0860912","1040716"
"133","16238536","富樹興業有限公司","新北市三重區重新路5段609巷20號9樓","","5000000","0861008","1040714"
"134","16299744","典創科技股份有限公司","臺北市信義區基隆路2段189號9樓之13","","1000000","0870120","1040703"
"135","16305443","日和有限公司","臺北市內湖區民權東路6段160號5樓之2 ","","6000000","0870216","1040721"
"136","16315385","佑頡廣告事業有限公司","臺北市信義區松德路159號20樓","","1000000","0870320","1040724"
"137","16328614","慶虹開發股份有限公司","臺北市內湖區新湖二路219號6樓","","35000000","0870424","1040714"
"138","16344136","新準企業有限公司","新北市新店區大豐里大同街1號2樓","","5000000","0861217","1040703"
"139","16358840","克莉兒眼鏡有限公司","新北市三重區長安街56號","","1000000","0870103","1040709"
"140","16368066","金御建設有限公司","雲林縣古坑鄉永昌村光昌路二○五巷一｜一號","","25000000","0870117","1040703"
"141","16371822","食在好生物科技有限公司","高雄市鼓山區伊犁街57號1樓","","2000000","0870123","1040703"
"142","16387900","守恒股份有限公司","臺北市內湖區安美街163號9樓","","5000000","0870223","1040716"
"143","16403789","甲穩營造股份有限公司","臺東縣臺東市豐榮路二一七號一樓","","3000000","0870317","1040727"
"144","16429697","典洋有限公司","臺南市新營區護鎮里後鎮96之36號","","6000000","0870417","1040701"
"145","16441778","榮星投資開發股份有限公司","臺南市中西區慶中街104號1樓","","90000000","0870327","1040720"
"146","16451775","芮德股份有限公司","高雄市左營區富國路185號11樓之3","","5000000","0870403","1040713"
"147","16454891","嘉音企業有限公司","高雄市三民區德東里嫩江街82號3樓","","3000000","0870513","1040707"
"148","16469493","皇山物流科技股份有限公司","新北市五股區興珍里五工六路16號","","5000000","0871019","1040714"
"149","16472737","耒美企業股份有限公司","高雄市左營區至聖路191號11樓","","15000000","0871201","1040629"
"150","16520148","捷挺實業有限公司","新北市土城區永豐路一三五巷一四號一樓","","5000000","0870606","1040722"
"151","16524566","玖合昇機電開發有限公司","臺中市神岡區庄前里神岡東街80巷12號1樓","","1500000","0870611","1040708"
"152","16530032","沛新工程有限公司","高雄市左營區博愛2路366號23樓之5","","12000000","0870618","1040706"
"153","16544211","世欣股份有限公司","臺中市大雅區員林里大林路65巷5之6號1樓","","10000000","0870707","1040630"
"154","16547104","慈心顧問企業股份有限公司","臺中市西區公正里向上路一段522號2樓","","5000000","0870713","1040723"
"155","16553858","億親營建土石處理有限公司","臺中市大里區西湖里草湖路一二九號一樓","","45000000","0870721","1040721"
"156","16584515","凱楨實業有限公司","臺北市松山區南京東路4段95號7樓","","5000000","0870511","1040706"
"157","16603490","全和廚具有限公司","臺北市北投區大興街9巷57號","","1000000","0870704","1040709"
"158","16630378","利林投資股份有限公司","臺北市大同區西寧北路25號9樓","","50000000","0870928","1040708"
"159","16641683","泰昂科技有限公司","高雄市鳳山區鳳南路９７號１樓","","500000","0870826","1040702"
"160","16667780","皓得電子有限公司","新北市樹林區博愛街68號","","1000000","0871001","1040722"
"161","16680072","沂和企業有限公司","臺中市北屯區三光里三光北一街7號1樓","","500000","0871021","1040730"
"162","16687929","貿盈有限公司","臺中市北屯區軍功里東山路一段246之1號","","6000000","0871102","1040709"
"163","16696270","大裕藥業股份有限公司","臺中市中區民權路二一九號十三樓","","6000000","0871116","1040729"
"164","16708396","長榮國際機電股份有限公司","桃園市蘆竹區新南路一段163號5樓","","60000000","0871207","1040709"
"165","16721320","堉林營造有限公司","新北市新店區僑信路132巷8號","","3000000","0871228","1040721"
"166","16732488","建圃工程有限公司","臺北市大同區迪化街2段149巷8號","","5000000","0880116","1040729"
"167","16756333","詠新室內裝潢工程股份有限公司","臺北市信義區基隆路2段22號6樓之1","","5000000","0871021","1040728"
"168","16760890","境報國際有限公司","臺北市中正區忠孝西路1段50號25樓之26","","1000000","0871104","1040708"
"169","16791275","聲音資訊網路科技股份有限公司","新北市板橋區三民路1段216號11樓","","58000000","0880308","1040728"
"170","16791325","天星國際事業有限公司","新北市永和區河堤里環河西路1段3號12樓","","1000000","0880309","1040720"
"171","16813073","聲專企業有限公司","高雄市前鎮區瑞隆里永豐路9號","","1000000","0880906","1040716"
"172","16822158","情悅旅社有限公司","高雄市大社區三奶里三民路511號","","2000000","0890114","1040710"
"173","16850344","致富源建設股份有限公司","新北市中和區安平路五九號","","25000000","0880128","1040715"
"174","16860119","大汐止全球影城股份有限公司","新北市汐止區中興路168號3樓及3樓之1至之5","","20000000","0880212","1040713"
"175","16886602","寶鉑室內裝修有限公司","臺北市中山區長安東路1段16號11樓之2","","500000","0880407","1040716"
"176","16904714","惟臣科技有限公司","新北市樹林區長壽街70巷12弄2號4樓","","1000000","0880429","1040730"
"177","16923872","得揚營造股份有限公司","臺南市歸仁區保興街６號","","10000000","0880524","1040723"
"178","16987072","淂聖企業有限公司","新北市板橋區三民路2段193巷13號","","5000000","0880820","1040722"
"179","16992786","勇創鍍金企業有限公司","新北市蘆洲區和平路102號2樓","","1000000","0880830","1040714"
"180","20758559","良玉實業有限公司","臺北市文山區辛亥路5段122號1樓","","5000000","0660620","1040701"
"181","20774328","登順實業有限公司","臺北市松山區民生東路5段165號3樓之4","","5000000","0661231","1040724"
"182","20802339","宇豐室內裝修工程有限公司","臺北市大安區信義路3段31巷18之3號","","5000000","0671007","1040708"
"183","21250263","六甫企業股份有限公司","臺北市松山區八德路4段214號之11樓","","8000000","0760116","1040713"
"184","21259145","矗偉國際開發股份有限公司","臺北市大安區信義路3段200號2樓之1","","8000000","0751113","1040708"
"185","22002214","達達投資股份有限公司","","","0","0750623","1040706"
"186","22005556","良鑫股份有限公司","臺北市大安區基隆路2段291巷9號1樓","","2800000","0750110","1040709"
