"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"100","04468294","榮豐特殊厚管有限公司","新北市樹林區三龍街113號5樓","劉震飛","27000000","1040917"
"101","04472136","立業貿易股份有限公司","臺北市大同區南京西路22號12樓","林保裕","30000000","1040904"
"102","04478407","可泰鋼鐵有限公司","臺北市大同區承德路2段55號6樓","吳俊雄","12000000","1040916"
"103","04479460","雙寶汽車有限公司","臺北市中正區莒光路85號1樓","呂燕如","3600000","1040902"
"104","04481037","大井泵浦工業股份有限公司","新北市三芝區大片頭83之14號","黃秀雄","170000000","1040921"
"105","04481873","協億交通器材有限公司","臺北市大同區五原路18號","張添和","500000","1040904"
"106","04489185","日新不銹鋼工業股份有限公司","臺北市中山區南京西路10號6樓","蕭東欣","40000000","1040915"
"107","04492843","大益有限公司","臺北市中山區吉林路422號1樓","蕭啟明","8000000","1040901"
"108","04499418","柏美建設股份有限公司","臺北市松山區長春路433號","周杉益","20000000","1040911"
"109","04503362","奇威行有限公司","臺北市大同區太原路11之3號1樓","何博文","300000000","1040910"
"110","04505994","慶百企業股份有限公司","臺北市中山區長春路172號5樓之1","林綉華","17000000","1040917"
"111","04519358","熾燊企業有限公司","桃園市楊梅區富岡里中華街6號1樓","賴廖月華","5000000","1040904"
"112","04526674","長豐企業股份有限公司","臺北市大安區忠孝東路4段270號10樓之3","趙克中","160000000","1040921"
"113","04581578","全昶企業有限公司","臺北市萬華區萬大路172號1樓","吳紫雲","18000000","1040914"
"114","04590387","伍舜貿易有限公司","臺北市大安區新生南路1段161巷31號1樓","陳聰文","7500000","1040903"
"115","04592580","偉元實業有限公司","新北市中和區永和路337巷10號1樓","洪榮堯","5000000","1040924"
"116","04617344","國順交通企業有限公司","臺北市南港區南港路3段310號","周宜禛","6000000","1040924"
"117","04622450","詮華國土測繪有限公司","新北市汐止區新台五路1段159號5樓之1","黃仰澤","78125000","1040904"
"118","04622563","台灣富士通股份有限公司","臺北市中正區中華路1段39號19樓","池上一郎","153640000","1040904"
"119","04624529","台灣嬌娃有限公司","新北市五股區五權六路32號(1樓)","莊國君","10000000","1040924"
"120","04630424","承泓企業股份有限公司","臺北市中正區羅斯福路2段66巷2號6樓之1","李勝詔","7100000","1040904"
"121","04633597","長虹建設股份有限公司","臺北市中正區北平東路30號11樓","李文造","2743176510","1040930"
"122","04634435","復興汽車電機冷氣有限公司","臺北市中正區延平南路225號","高國書","2000000","1040911"
"123","04635687","秀佶企業有限公司","臺北市大同區雙連街48號1樓","施陳香蘭","25000000","1040917"
"124","04647298","應拿實業有限公司","臺北市大安區和平東路1段121之1號1樓","謝守信","29000000","1040904"
"125","04658554","信源藥品工業有限公司","臺北市中正區三元街172巷1弄8號","許景翔","4400000","1040908"
"126","04660257","馨祥企業有限公司","臺北市松山區塔悠路302號","廖信勇","2000000","1040904"
"127","04673767","威弘交通有限公司","臺北市南港區南港路3段310號","周宜禛","3000000","1040925"
"128","04681014","新加坡商湯姆遜亞太視訊網絡有限公司","桃園市桃園區大同路11號6樓之2","托尼‧伯濤","1300000","1040917"
"129","04689698","翊泰實業股份有限公司","臺北市松山區復興北路57號12樓之1","吳金土","80000000","1040914"
"130","04697347","台灣國際標準電子股份有限公司","臺北市內湖區堤頂大道2段409、411、413、415號7、8、9樓","呂國華","440000000","1040903"
"131","04697368","台灣鐵塔股份有限公司","臺北市中山區長春路19號9樓","李文隆","238032000","1040915"
"132","04746558","立生精密工業股份有限公司","新北市三重區光復路1段82號4樓","林佳慶","40000000","1040918"
"133","04749788","鉅衆實業有限公司","臺北市松山區敦化北路155巷66弄28號1樓","林孟德","15000000","1040916"
"134","04750638","樂蘭股份有限公司","桃園市龜山區文化里科技一路32號","邵義勝","122000000","1040904"
"135","04757506","福達食品股份有限公司","桃園市中壢區合定路20號","陳中文","23000000","1040918"
"136","04762557","中榮塑膠廠股份有限公司","臺北市南港區新民街86號","闕鴻文","25000000","1040911"
