SiteName,MonitorDate,Concentration,ItemUnit
汐止,2015-09-03,21,μg/m3
基隆,2015-09-03,18,μg/m3
馬公,2015-08-31,4,μg/m3
金門,2015-08-31,25,μg/m3
馬祖,2015-08-31,17,μg/m3
宜蘭,2015-08-31,6,μg/m3
陽明,2015-08-31,3,μg/m3
花蓮,2015-08-31,8,μg/m3
臺東,2015-08-31,7,μg/m3
恆春,2015-08-31,5,μg/m3
屏東,2015-08-31,8,μg/m3
前金,2015-08-31,11,μg/m3
美濃,2015-08-31,4,μg/m3
臺南,2015-08-31,7,μg/m3
新營,2015-08-31,5,μg/m3
嘉義,2015-08-31,7,μg/m3
朴子,2015-08-31,7,μg/m3
斗六,2015-08-31,7,μg/m3
南投,2015-08-31,6,μg/m3
彰化,2015-08-31,12,μg/m3
忠明,2015-08-31,10,μg/m3
豐原,2015-08-31,6,μg/m3
三義,2015-08-31,4,μg/m3
苗栗,2015-08-31,7,μg/m3
新竹,2015-08-31,9,μg/m3
竹東,2015-08-31,6,μg/m3
平鎮,2015-08-31,10,μg/m3
桃園,2015-08-31,11,μg/m3
萬華,2015-08-31,11,μg/m3
士林,2015-08-31,8,μg/m3
板橋,2015-08-31,11,μg/m3
汐止,2015-08-31,10,μg/m3
基隆,2015-08-31,9,μg/m3
馬公,2015-08-28,5,μg/m3
金門,2015-08-28,12,μg/m3
馬祖,2015-08-28,16,μg/m3
宜蘭,2015-08-28,6,μg/m3
陽明,2015-08-28,5,μg/m3
花蓮,2015-08-28,8,μg/m3
臺東,2015-08-28,9,μg/m3
恆春,2015-08-28,3,μg/m3
屏東,2015-08-28,10,μg/m3
前金,2015-08-28,12,μg/m3
美濃,2015-08-28,6,μg/m3
臺南,2015-08-28,9,μg/m3
新營,2015-08-28,8,μg/m3
嘉義,2015-08-28,7,μg/m3
朴子,2015-08-28,10,μg/m3
斗六,2015-08-28,7,μg/m3
南投,2015-08-28,10,μg/m3
彰化,2015-08-28,14,μg/m3
忠明,2015-08-28,11,μg/m3
豐原,2015-08-28,8,μg/m3
三義,2015-08-28,,μg/m3
苗栗,2015-08-28,8,μg/m3
新竹,2015-08-28,14,μg/m3
竹東,2015-08-28,16,μg/m3
平鎮,2015-08-28,15,μg/m3
桃園,2015-08-28,18,μg/m3
萬華,2015-08-28,19,μg/m3
士林,2015-08-28,13,μg/m3
板橋,2015-08-28,21,μg/m3
汐止,2015-08-28,13,μg/m3
基隆,2015-08-28,10,μg/m3
馬公,2015-08-25,27,μg/m3
金門,2015-08-25,19,μg/m3
馬祖,2015-08-25,13,μg/m3
宜蘭,2015-08-25,12,μg/m3
陽明,2015-08-25,10,μg/m3
花蓮,2015-08-25,11,μg/m3
臺東,2015-08-25,10,μg/m3
恆春,2015-08-25,17,μg/m3
屏東,2015-08-25,20,μg/m3
前金,2015-08-25,21,μg/m3
美濃,2015-08-25,19,μg/m3
臺南,2015-08-25,20,μg/m3
新營,2015-08-25,20,μg/m3
嘉義,2015-08-25,22,μg/m3
朴子,2015-08-25,21,μg/m3
斗六,2015-08-25,18,μg/m3
南投,2015-08-25,15,μg/m3
彰化,2015-08-25,23,μg/m3
忠明,2015-08-25,20,μg/m3
豐原,2015-08-25,24,μg/m3
